feature,importance
sell_price,3841
item_id,3394
dept_avg_sales,3347
price_max,2942
week,2923
price_momentum,2474
rolling_mean_28,2219
store_avg_sales,2119
lag_1,1988
store_id,1439
lag_7,1355
rolling_mean_14,1323
price_discount,1315
rolling_std_28,1313
month,1267
day,1049
rolling_mean_ratio,941
wday,928
lag_14,927
rolling_mean_7,866
price_rolling_std,856
lag_21,807
rolling_std_14,668
lag_56,612
dept_id,500
rolling_std_7,451
event_name_1,432
lag_28,395
lag_42,373
lag_35,364
price_norm,360
price_change_1,221
year,218
snap_WI,174
state_id,130
event_type_1,126
snap_TX,107
quarter,71
cat_id,43
is_snap,41
snap_CA,37
has_event,2
event_type_2,0
event_name_2,0
